building,location,x,y
Mudd Library,"[40.3495985, -74.6519827]",1300,428
Charlton St Substation,"[0.0, 0.0]",1227,457
Woolworth Music Center,"[40.3472419, -74.6558503]",780,609
169 Nassau St.,"[40.3505913, -74.6561244]",921,142
Engineering Quad G Wing,"[0.0, 0.0]",1573,371
Engineering Quad E Wing,"[40.350553, -74.65157099999999]",1408,407
Friend Center,"[40.3505454, -74.652204]",1247,308
DeNunzio Pool,"[40.3439001, -74.647408]",386,681
Whig Hall,"[40.3478161, -74.65864499999999]",515,426
71 University Place,"[40.3454312, -74.6609075]",135,668
Carl Icahn,"[40.3444424, -74.6532728]",912,1089
194 Nassau St.,"[40.3512924, -74.6551391]",1046,70
Andlinger,"[40.349308, -74.650916]",1419,507
Campus Club,"[40.34757099999999, -74.65443599999999]",946,620
Bobst Hall,"[40.348916, -74.649515]",1533,624
Von Neumann Hall,"[40.3504806, -74.64912439999999]",1646,417
87 Prospect,"[40.3483788, -74.6488623]",1569,725
Maclean House,"[40.3491065, -74.6602314]",416,188
McCarter Theater,"[40.3441743, -74.6606056]",67,872
Sherrerd Hall,"[40.3495354, -74.6526883]",1231,414
Bowen Hall,"[40.3495302, -74.6503122]",1476,509
Clio Hall,"[40.3476855, -74.6591541]",454,426
Firestone Library,"[40.3462131, -74.6525774]",728,233
Henry House,"[40.3493812, -74.6589213]",563,197
Computer Science,"[40.350211, -74.65220699999999]",1311,344
MacMillan Building,"[40.3422474, -74.6569495]",416,1250
Robertson Hall,"[40.348393, -74.654749]",955,494
179-183 Nassau St.,"[40.3506389, -74.6555707]",975,145
East Pyne Building,"[40.34867939999999, -74.6584403]",581,317
Dodge Hall,"[40.3479308, -74.6579343]",596,435
755 Alexander Rd.,"[40.321849, -74.634492]",,
48 Unversity Place,"[40.34650329999999, -74.661175]",180,509
701 Carnegie,"[40.3237806, -74.6491381]",,
Engineering Quad F Wing,"[40.350553, -74.65157099999999]",1406,234
Haaga House,"[0.0, 0.0]",,
McDonnell Hall,"[40.3453423, -74.6524847]",1037,999
Fine Hall,"[40.3458323, -74.6523747]",1023,940
Hoyt Lab,"[40.3496505, -74.6546692]",1027,321
Sayre Hall,"[40.3445253, -74.6156924]",,
20 Washington Road (Old Frick),"[0.0, 0.0]",,
228 Alexander St.,"[40.3392332, -74.6575778]",,
New South Building,"[40.3486793, -74.6593268]",262,1026
Roberts Stadium,"[40.3424243, -74.6536011]",703,1354
350 Alexander,"[40.33549379999999, -74.6546572]",,
Eno Hall,"[40.3454162, -74.6552895]",749,881
Chapel,"[40.3488423, -74.6569899]",735,346
Wallace Hall,"[40.3492626, -74.6536603]",1116,414
Shea Rowing Center,"[40.339533, -74.6507019]",810,1640
36 University Place,"[40.3471325, -74.6615588]",173,412
Caldwell Field House,"[40.3443101, -74.6483305]",1422,1300
Clark Field,"[40.346479, -74.64811759999999]",1639,987
Dickinson Hall,"[40.3487251, -74.6560731]",824,380
Bendheim Center for Finance,"[40.349166, -74.6552373]",1109,496
Engineering Quad C Wing,"[40.350553, -74.65157099999999]",1410,337
Chilled Water-CoGen-ElmSubStation Elm Drive Sub Station,"[0.0, 0.0]",,
Peyton Hall,"[40.3465565, -74.6516625]",1181,863
Baker Rink,"[40.3428942, -74.6578591]",355,1128
Aaron Burr,"[40.3524641, -74.66016739999999]",851,176
1879 Hall,"[40.34773080000001, -74.65532089999999]",860,571
Cordish Family Pavilion,"[40.3414656, -74.65447569999999]",631,1456
Stanhope Hall,"[40.348705, -74.6600326]",411,251
Princeton Stadium,"[40.3457928, -74.6500047]",1322,1015
Guyot Hall,"[40.345904, -74.6545161]",853,858
