Rank,Folder,"Max Clients","Unique Clients","Total Data","Avg Usage"
1,"Top > Firestone Library",400,654,"60.41 GB","340.72 Kbps"
2,"Top > Frist Campus Center",212,872,"35.67 GB","338.70 Kbps"
3,"Top > Lewis Science Library",152,274,"30.38 GB","703.25 Kbps"
4,"Top > Frick Chemistry Laboratory",126,190,"18.64 GB","188.33 Kbps"
5,"Top > Jadwin Hall",101,240,"17.34 GB","137.59 Kbps"
6,"Top > Architecture Building",86,350,"15.46 GB","409.05 Kbps"
7,"Top > Computer Science",65,207,"14.78 GB","335.20 Kbps"
8,"Top > Dillon Gym",140,695,"14.45 GB","254.79 Kbps"
9,"Top > Wallace Hall",89,135,"12.57 GB","377.40 Kbps"
10,"Top > Engineering Quad > C Wing",56,188,"10.99 GB","381.47 Kbps"
11,"Top > Carl Icahn",81,156,"9.10 GB","113.61 Kbps"
12,"Top > Fine Hall",86,467,"8.62 GB","87.03 Kbps"
13,"Top > Sherrerd Hall",89,122,"8.24 GB","160.56 Kbps"
14,"Top > East Pyne Building",103,921,"6.69 GB","116.17 Kbps"
15,"Top > Friend Center",46,88,"6.33 GB","137.99 Kbps"
16,"Top > 20 Washington Road (Old Frick)",94,368,"5.84 GB","38.15 Kbps"
17,"Top > Neuro-Institute-Psych",148,183,"5.72 GB","43.55 Kbps"
18,"Top > Fisher-Bendheim-Corwin",52,220,"5.25 GB","106.10 Kbps"
19,"Top > 185 Nassau St.",50,379,"5.10 GB","57.27 Kbps"
20,"Top > DeNunzio Pool",38,54,"4.96 GB","289.92 Kbps"
21,"Top > 693 Alexander Rd.",26,26,"4.94 GB","133.89 Kbps"
22,"Top > Engineering Quad > F Wing",45,156,"4.83 GB","447.25 Kbps"
23,"Top > Thomas Laboratory",59,210,"3.97 GB","43.71 Kbps"
24,"Top > 48 Unversity Place",56,360,"3.95 GB","190.99 Kbps"
25,"Top > Chilled Water-CoGen-ElmSubStation > Co-Gen Plant",9,21,"3.82 GB","249.78 Kbps"
26,"Top > Woolworth Music Center",50,490,"3.76 GB","70.79 Kbps"
27,"Top > Engineering Quad > E Wing",40,113,"3.67 GB","104.48 Kbps"
28,"Top > Guyot Hall",79,407,"3.45 GB","27.41 Kbps"
29,"Top > Moffett-Schultz Laboratory",52,238,"3.33 GB","48.07 Kbps"
30,"Top > Campus Club",44,470,"3.02 GB","176.48 Kbps"
31,"Top > Engineering Quad > D Wing",45,88,"3.01 GB","77.69 Kbps"
32,"Top > Peyton Hall",35,169,"2.76 GB","45.10 Kbps"
33,"Top > Friend Center > Friend Center Event APs",6,34,"2.73 GB","336.55 Kbps"
34,"Top > McDonnell Hall",21,58,"2.47 GB","80.59 Kbps"
35,"Top > McCosh Hall",42,493,"2.08 GB","57.84 Kbps"
36,"Top > Chapel",37,461,"2 GB","171.17 Kbps"
